Date,Sentiment_Score,Type
2023-01-01,0.41615713511156,Forecast
2023-01-02,0.27726195975275997,Forecast
2023-01-03,0.36027379279792,Forecast
2023-01-04,0.3354528226330399,Forecast
2023-01-05,0.32888174680833,Forecast
2023-01-06,0.32601970990852996,Forecast
2023-01-07,0.32086304456932,Forecast
2023-01-08,0.32948551566515,Forecast
2023-01-09,0.32440588518274,Forecast
2023-01-10,0.31360420656659,Forecast
2023-01-11,0.33255061134004,Forecast
2023-01-12,0.34362430632189,Forecast
2023-01-13,0.33624373306754,Forecast
2023-01-14,0.33969350295927,Forecast
2023-01-15,0.32523077434539,Forecast
2023-01-16,0.3197887011760699,Forecast
2023-01-17,0.32332182025712003,Forecast
2023-01-18,0.28851936371521003,Forecast
2023-01-19,0.26777134850639994,Forecast
2023-01-20,0.2534311179435,Forecast
2023-01-21,0.2468107903250999,Forecast
2023-01-22,0.2434095094277099,Forecast
2023-01-23,0.2256241790394199,Forecast
2023-01-24,0.21342577006883998,Forecast
2023-01-25,0.21131892733898,Forecast
2023-01-26,0.2036516833880099,Forecast
2023-01-27,0.1957280775365399,Forecast
2023-01-28,0.20047544276207,Forecast
2023-01-29,0.20988430083051,Forecast
2023-01-30,0.38147344319545,Forecast
